iteration,s,t,f,k,b,amount
iteration_1,1,6,34,6,1,30.0
iteration_1,1,6,35,1,1,40.0
iteration_1,1,6,36,6,1,3.0
iteration_1,1,6,36,1,1,33.0
iteration_1,1,6,37,9,1,34.0
iteration_1,1,6,38,10,1,38.0
iteration_1,1,6,39,11,1,40.0
iteration_1,1,6,40,12,1,37.0
iteration_1,1,6,41,18,1,36.0
iteration_1,1,6,42,13,1,31.0
iteration_1,1,6,43,14,1,30.0
iteration_1,1,6,44,14,1,31.0
iteration_1,1,6,45,14,1,33.0
iteration_1,1,6,46,14,1,30.0
iteration_1,1,6,47,14,1,30.0
iteration_1,1,6,48,13,1,34.0
iteration_1,1,6,49,25,1,34.0
iteration_1,1,6,50,18,1,31.0
iteration_1,1,6,51,25,1,36.0
iteration_1,1,6,52,14,1,39.0
iteration_1,1,6,53,14,1,34.0
iteration_1,1,6,54,14,1,18.0
iteration_1,1,6,54,25,1,21.0
iteration_1,1,6,55,15,1,33.0
iteration_1,1,6,56,18,1,36.0
iteration_1,1,6,57,16,1,31.0
iteration_1,1,6,58,25,1,37.0
iteration_1,1,6,59,25,1,38.0
iteration_1,1,6,60,22,1,40.0
iteration_1,1,6,61,25,1,30.0
iteration_1,1,6,62,16,1,32.0
iteration_1,1,6,63,16,1,37.0
iteration_1,1,6,64,25,1,32.0
iteration_1,1,6,65,24,1,33.0
iteration_1,1,6,66,18,1,40.0
iteration_1,1,6,67,19,1,40.0
iteration_1,1,6,68,24,1,38.0
iteration_1,1,6,69,17,1,35.0
iteration_1,1,6,70,17,1,37.0
iteration_1,1,6,71,18,1,32.0
iteration_1,1,6,72,18,1,34.0
iteration_1,1,6,73,19,1,32.0
iteration_1,1,6,74,21,1,40.0
iteration_1,1,6,75,20,1,36.0
iteration_1,1,6,76,15,1,38.0
iteration_1,1,6,77,21,1,33.0
iteration_1,1,6,78,21,1,30.0
iteration_1,1,6,79,20,1,40.0
iteration_1,1,6,80,19,1,35.0
iteration_1,1,6,81,22,1,30.0
iteration_1,1,6,82,21,1,37.0
iteration_1,1,6,83,15,1,30.0
iteration_1,1,6,84,25,1,17.0
iteration_1,1,6,84,15,1,13.0
iteration_1,1,6,85,22,1,34.0
iteration_1,1,6,86,22,1,38.0
iteration_1,1,6,87,21,1,30.0
iteration_1,1,6,88,22,1,38.0
iteration_1,1,6,89,23,1,31.0
iteration_1,1,6,90,24,1,7.0
iteration_1,1,6,90,24,3,25.0
iteration_1,1,6,91,20,3,38.0
iteration_1,1,6,92,20,3,34.0
iteration_1,1,6,93,20,3,34.0
iteration_1,1,6,94,17,3,32.0
iteration_1,1,6,95,20,3,39.0
iteration_1,1,6,96,24,3,39.0
iteration_1,1,6,97,24,3,35.0
iteration_1,1,6,98,20,3,24.0
iteration_1,1,6,98,24,3,9.0
iteration_1,1,6,99,21,3,39.0
iteration_1,2,1,1,1,2,62.0
iteration_1,2,1,2,5,2,68.0
iteration_1,2,1,3,12,2,61.0
iteration_1,2,1,4,6,2,70.0
iteration_1,2,1,5,11,2,69.0
iteration_1,2,1,6,9,2,66.0
iteration_1,2,1,7,2,2,66.0
iteration_1,2,1,8,11,2,68.0
iteration_1,2,1,9,11,2,65.0
iteration_1,2,1,10,3,2,61.0
iteration_1,2,1,11,10,2,69.0
iteration_1,2,1,12,12,2,61.0
iteration_1,2,1,13,6,2,63.0
iteration_1,2,1,14,12,2,68.0
iteration_1,2,1,15,1,2,69.0
iteration_1,2,1,16,4,2,62.0
iteration_1,2,1,17,3,2,64.0
iteration_1,2,1,18,5,2,65.0
iteration_1,2,1,19,10,2,64.0
iteration_1,2,1,20,10,2,67.0
iteration_1,2,1,21,10,2,45.0
iteration_1,2,1,21,11,2,18.0
iteration_1,2,1,22,8,2,63.0
iteration_1,2,1,23,6,2,61.0
iteration_1,2,1,24,6,2,51.0
iteration_1,2,1,24,3,2,19.0
iteration_1,2,1,25,7,2,61.0
iteration_1,2,1,26,3,2,68.0
iteration_1,2,1,27,8,2,65.0
iteration_1,2,1,28,3,2,33.0
iteration_1,2,1,28,8,2,32.0
iteration_1,2,1,29,8,2,1.0
iteration_1,2,1,29,8,1,63.0
iteration_1,2,1,30,4,1,67.0
iteration_1,2,1,31,9,1,67.0
iteration_1,2,1,32,4,1,61.0
iteration_1,2,1,33,9,1,63.0
iteration_1,2,1,34,8,1,21.0
iteration_1,2,1,34,1,1,41.0
iteration_1,2,1,35,1,1,61.0
iteration_1,2,1,36,1,1,12.0
iteration_1,2,1,36,5,1,51.0
iteration_1,2,1,37,9,1,49.0
iteration_1,2,1,37,4,1,15.0
iteration_1,2,1,39,11,1,25.0
iteration_1,2,1,40,12,1,55.0
iteration_1,2,1,41,18,1,63.0
iteration_1,2,1,42,13,1,65.0
iteration_1,2,1,43,14,1,70.0
iteration_1,2,1,44,14,1,67.0
iteration_1,2,1,45,14,1,67.0
iteration_1,2,1,46,14,1,41.0
iteration_1,2,1,46,13,1,28.0
iteration_1,2,1,48,13,1,61.0
iteration_1,2,1,49,25,1,66.0
iteration_1,2,1,50,18,1,60.0
iteration_1,2,1,51,25,1,60.0
iteration_1,2,1,52,18,1,69.0
iteration_1,2,1,53,13,1,69.0
iteration_1,2,1,54,25,1,70.0
iteration_1,2,1,55,15,1,66.0
iteration_1,2,1,56,18,1,53.0
iteration_1,2,1,56,13,1,7.0
iteration_1,2,1,57,16,1,20.0
iteration_1,2,1,57,16,3,50.0
iteration_1,2,1,58,25,3,49.0
iteration_1,2,1,58,22,3,20.0
iteration_1,2,1,59,22,3,65.0
iteration_1,2,1,60,22,3,67.0
iteration_1,2,1,61,22,3,60.0
