iteration,s,t,f,k,b,amount
iteration_731,1,5,29,8,3,33.0
iteration_731,1,5,30,4,3,33.0
iteration_731,1,5,31,9,3,40.0
iteration_731,1,5,32,4,3,33.0
iteration_731,1,5,33,9,3,33.0
iteration_731,1,5,34,6,3,28.0
iteration_731,1,5,34,8,3,6.0
iteration_731,1,5,35,1,3,31.0
iteration_731,1,6,1,1,1,37.0
iteration_731,1,6,2,5,1,35.0
iteration_731,1,6,3,12,1,38.0
iteration_731,1,6,4,6,1,34.0
iteration_731,1,6,5,11,1,37.0
iteration_731,1,6,6,9,1,32.0
iteration_731,1,6,7,2,1,38.0
iteration_731,1,6,8,11,1,40.0
iteration_731,1,6,9,11,1,21.0
iteration_731,1,6,1,1,2,37.0
iteration_731,1,6,2,5,2,35.0
iteration_731,1,6,3,12,2,38.0
iteration_731,1,6,4,6,2,34.0
iteration_731,1,6,5,11,2,37.0
iteration_731,1,6,6,9,2,32.0
iteration_731,1,6,7,2,2,38.0
iteration_731,1,6,8,11,2,40.0
iteration_731,1,6,9,11,2,37.0
iteration_731,1,6,10,3,2,36.0
iteration_731,1,6,11,10,2,33.0
iteration_731,1,6,12,12,2,37.0
iteration_731,1,6,13,6,2,39.0
iteration_731,1,6,14,12,2,30.0
iteration_731,1,6,1,1,3,37.0
iteration_731,1,6,2,5,3,35.0
iteration_731,1,6,3,12,3,38.0
iteration_731,1,6,4,6,3,34.0
iteration_731,1,6,5,11,3,37.0
iteration_731,1,6,6,9,3,32.0
iteration_731,1,6,7,2,3,38.0
iteration_731,1,6,8,11,3,40.0
iteration_731,1,6,9,11,3,37.0
iteration_731,1,6,10,3,3,36.0
iteration_731,1,6,11,10,3,33.0
iteration_731,1,6,12,12,3,37.0
iteration_731,1,6,13,6,3,39.0
iteration_731,1,6,14,12,3,36.0
iteration_731,1,6,15,1,3,8.0
iteration_731,2,1,1,1,1,62.0
iteration_731,2,1,2,5,1,68.0
iteration_731,2,1,3,12,1,61.0
iteration_731,2,1,4,6,1,70.0
iteration_731,2,1,5,11,1,69.0
iteration_731,2,1,6,9,1,66.0
iteration_731,2,1,7,2,1,66.0
iteration_731,2,1,8,11,1,68.0
iteration_731,2,1,9,11,1,65.0
iteration_731,2,1,10,3,1,61.0
iteration_731,2,1,11,10,1,69.0
iteration_731,2,1,12,12,1,61.0
iteration_731,2,1,13,6,1,63.0
iteration_731,2,1,14,12,1,68.0
iteration_731,2,1,15,1,1,69.0
iteration_731,2,1,16,4,1,62.0
iteration_731,2,1,17,3,1,64.0
iteration_731,2,1,18,5,1,65.0
iteration_731,2,1,19,10,1,64.0
iteration_731,2,1,20,10,1,67.0
iteration_731,2,1,21,10,1,45.0
iteration_731,2,1,21,11,1,18.0
iteration_731,2,1,22,8,1,63.0
iteration_731,2,1,23,6,1,9.0
iteration_731,2,1,1,1,2,62.0
iteration_731,2,1,2,5,2,68.0
iteration_731,2,1,3,12,2,61.0
iteration_731,2,1,4,6,2,70.0
iteration_731,2,1,5,11,2,69.0
iteration_731,2,1,6,9,2,66.0
iteration_731,2,1,7,2,2,66.0
iteration_731,2,1,8,11,2,68.0
iteration_731,2,1,9,11,2,65.0
iteration_731,2,1,10,3,2,61.0
iteration_731,2,1,11,10,2,41.0
iteration_731,2,1,1,1,3,62.0
iteration_731,2,1,2,5,3,68.0
iteration_731,2,1,3,12,3,61.0
iteration_731,2,1,4,6,3,70.0
iteration_731,2,1,5,11,3,69.0
iteration_731,2,1,6,9,3,66.0
iteration_731,2,1,7,2,3,66.0
iteration_731,2,1,8,11,3,68.0
iteration_731,2,1,9,11,3,65.0
iteration_731,2,1,10,3,3,61.0
iteration_731,2,1,11,10,3,69.0
iteration_731,2,1,12,12,3,61.0
iteration_731,2,1,13,6,3,63.0
iteration_731,2,1,14,12,3,68.0
iteration_731,2,1,15,1,3,69.0
iteration_731,2,1,16,4,3,62.0
iteration_731,2,1,17,3,3,64.0
iteration_731,2,1,18,5,3,65.0
iteration_731,2,1,19,10,3,64.0
iteration_731,2,1,20,10,3,67.0
iteration_731,2,1,21,10,3,45.0
iteration_731,2,1,21,11,3,18.0
iteration_731,2,1,22,8,3,49.0
iteration_731,2,2,1,1,1,70.0
iteration_731,2,2,2,5,1,60.0
iteration_731,2,2,3,12,1,70.0
iteration_731,2,2,4,6,1,62.0
iteration_731,2,2,5,11,1,66.0
iteration_731,2,2,6,9,1,64.0
iteration_731,2,2,7,2,1,60.0
iteration_731,2,2,8,11,1,70.0
iteration_731,2,2,9,11,1,67.0
iteration_731,2,2,1,1,2,70.0
iteration_731,2,2,2,5,2,60.0
iteration_731,2,2,3,12,2,38.0
iteration_731,2,2,1,1,3,70.0
iteration_731,2,2,2,5,3,60.0
iteration_731,2,2,3,12,3,50.0
iteration_731,2,3,1,1,1,61.0
iteration_731,2,3,2,5,1,61.0
iteration_731,2,3,3,12,1,70.0
iteration_731,2,3,4,6,1,69.0
iteration_731,2,3,5,11,1,68.0
iteration_731,2,3,6,9,1,63.0
iteration_731,2,3,7,2,1,67.0
iteration_731,2,3,8,11,1,70.0
iteration_731,2,3,9,11,1,67.0
iteration_731,2,3,10,3,1,61.0
iteration_731,2,3,11,10,1,67.0
iteration_731,2,3,12,12,1,69.0
iteration_731,2,3,13,6,1,13.0
iteration_731,2,3,1,1,2,61.0
iteration_731,2,3,2,5,2,61.0
iteration_731,2,3,3,12,2,70.0
iteration_731,2,3,4,6,2,69.0
iteration_731,2,3,5,11,2,68.0
iteration_731,2,3,6,9,2,63.0
iteration_731,2,3,7,2,2,67.0
iteration_731,2,3,8,11,2,70.0
iteration_731,2,3,9,11,2,67.0
iteration_731,2,3,10,3,2,61.0
iteration_731,2,3,11,10,2,67.0
iteration_731,2,3,12,12,2,69.0
iteration_731,2,3,13,6,2,70.0
iteration_731,2,3,14,12,2,67.0
iteration_731,2,3,15,1,2,66.0
iteration_731,2,3,16,4,2,26.0
iteration_731,2,3,1,1,3,61.0
iteration_731,2,3,2,5,3,61.0
iteration_731,2,3,3,12,3,70.0
iteration_731,2,3,4,6,3,69.0
iteration_731,2,3,5,11,3,68.0
iteration_731,2,3,6,9,3,63.0
iteration_731,2,3,7,2,3,67.0
iteration_731,2,3,8,11,3,70.0
iteration_731,2,3,9,11,3,67.0
iteration_731,2,3,10,3,3,61.0
iteration_731,2,3,11,10,3,67.0
iteration_731,2,3,12,12,3,69.0
iteration_731,2,3,13,6,3,39.0
iteration_731,2,4,1,1,1,63.0
iteration_731,2,4,2,5,1,69.0
iteration_731,2,4,3,12,1,67.0
iteration_731,2,4,4,6,1,70.0
iteration_731,2,4,5,11,1,63.0
iteration_731,2,4,6,9,1,70.0
iteration_731,2,4,7,2,1,67.0
iteration_731,2,4,8,11,1,67.0
iteration_731,2,4,9,11,1,60.0
iteration_731,2,4,10,3,1,21.0
iteration_731,2,4,1,1,2,63.0
iteration_731,2,4,2,5,2,69.0
iteration_731,2,4,3,12,2,67.0
